제목,분야,제출 학회,억셉 여부,핵심 키워드,arXiv 링크
"MEgoHand: Multimodal Egocentric Hand-Object Interaction Motion Generation",HOI 모션 생성,NeurIPS 2026,,"egocentric, multimodal, motion generation",
"LatentAct: How Do I Do That? Synthesizing 3D Hand Motion and Contacts for Everyday Interactions",HOI 모션 생성,CVPR 2025,,"3D hand motion, contact synthesis",
"Text2HOI: Text-guided 3D Motion Generation for Hand-Object Interaction",HOI 모션 생성,CVPR 2024,,"text-guided, 3D HOI generation",
"Dex2HOI: Dexterous Bimanual Two-Object Interaction Generation",HOI 모션 생성,NeurIPS 2026,,"bimanual, two-object, dexterous",
"FlowHOI: Flow-based Semantics-Grounded Generation of Hand-Object Interactions for Dexterous Robot Manipulation",HOI 모션 생성,CVPR 2026,,"flow matching, semantics-grounded, robot manipulation",
"Bimanual 3D Hand Motion and Articulation Forecasting in Everyday Images",핸드 모션 예측,CVPR 2026,,"bimanual, articulation forecasting, single image",
"EggHand: A Multimodal Foundation Model for Egocentric Hand Pose Forecasting",핸드 모션 예측,CVPR 2026 Final,,"foundation model, hand pose forecasting",
"Universal Hand Motion Forecasting in Egocentric Views",핸드 모션 예측,T-PAMI 2026,,"universal forecasting, egocentric",
"WHOLE: World-Grounded Hand-Object Lifted from Egocentric Videos",HOI 복원·추정,CVPR 2026 Final,,"world-grounded, lifting, egocentric video",
"EgoGrasp: World-Space Hand-Object Interaction Estimation from Egocentric Videos",HOI 복원·추정,ECCV 2026,결과 모름,"world-space estimation, egocentric video",
"AGILE: Hand-Object Interaction Reconstruction from Video via Agentic Generation",HOI 복원·추정,SIGGRAPH 2026,,"agentic generation, video reconstruction",https://arxiv.org/abs/2602.04672
"EgoVLA: Learning Vision-Language-Action Models from Egocentric Human Manipulation Videos",로봇 학습 (VLA),CoRL 2025,떨어졌지만 96회의 인용수,"VLA, human manipulation video",
"Scalable Vision-Language-Action Model Pretraining for Robotic Manipulation with Real-Life Human Activity Videos",로봇 학습 (VLA),ICRA 2026,,"VLA pretraining, scalable, human activity video",
"World Models for Learning Dexterous Hand-Object Interactions from Human Videos",로봇 학습 (VLA),ECCV 2026,,"world model, dexterous, human video",
"HumanEgo: Zero-Shot Robot Learning from Minutes of Human Egocentric Videos",로봇 학습 (VLA),CoRL 2026,결과 모름,"zero-shot, data-efficient, egocentric",
"DexCanvas: Bridging Human Demonstrations and Robot Learning for Dexterous Manipulation",데이터셋·벤치마크,ICLR 2026,결과 모름,"human demonstration dataset, dexterous",
"DexJoCo: A Benchmark and Toolkit for Task-Oriented Dexterous Manipulation on MuJoCo",데이터셋·벤치마크,CoRL 2026,결과 모름,"benchmark, toolkit, MuJoCo",
"EgoVerse: An Egocentric Human Dataset for Robot Learning from Around the World",데이터셋·벤치마크,학회 모름,,"egocentric dataset, in-the-wild, robot learning",
"TACO: Benchmarking Generalizable Bimanual Tool-ACtion-Object Understanding",데이터셋·벤치마크,CVPR 2024,,"bimanual, tool-action-object, benchmark",
"OAKINK2: A Dataset of Bimanual Hands-Object Manipulation in Complex Task Completion",데이터셋·벤치마크,CVPR 2024,,"bimanual dataset, complex task",
